Rans S-12 Airaile,1112,20800,0.02,"[[United States dollar|US$]]20,800 (XL model, base price 2011 less engine and instruments)<ref name=""WDLA11"">Bayerl, Robby; Martin Berkemeier; et al: ''World Directory of Leisure Aviation 2011-12'', page 117. WDLA UK, Lancaster UK, 2011. ISSN 1368-485X</ref>"
Antonov A-9,27,300000,0.0,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
Schweizer X-26 Frigate,7,300000,0.0,300000
Blackburn Nautilus,1,300000,0.0,300000
Dassault Mirage III,1422,300000,0.42,""
Lioré et Olivier 300,1,300000,0.0,300000
Lambach HL.II,2,300000,0.0,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
Alliance P.1,1,300000,0.0,300000
Albatros Dr.I,1,300000,0.0,300000
Sukhoi Su-30,509,75000000,38.17,"US$75&nbsp;million (Su-30MKI) in 2014<ref>[http://ajaishukla.blogspot.com.au/2014/04/air-force-to-get-full-sukhoi-30mki.html ""Air force to get full Sukhoi-30MKI fleet by 2019""]. Broadsword Blog, 22 April 2014.</ref>{{vs|date=April 2014}}"
Thomas-Morse O-19,176,300000,0.05,300000
Ahrens AR 404,2,300000,0.0,300000
Nikitin NV-2,3,300000,0.0,300000
Wittman Big X,1,300000,0.0,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
Fairchild 91,4,300000,0.0,300000
Fairey Firefly I,1,300000,0.0,""
Caproni Ca.313,271,300000,0.08,300000
Scheibe SF-23 Sperling,27,300000,0.0,300000
Falconar Golden Hawk,4,300000,0.0,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
Bonney Gull,1,83000,0.0,$83000 in 1928 <!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
Saunders T.1,1,300000,0.0,300000
Sopwith Cobham,3,300000,0.0,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
Hiller YH-32 Hornet,18,300000,0.0,""
Hunting H.126,1,300000,0.0,""
Avro 547,2,300000,0.0,300000
Avia BH-10,20,300000,0.0,300000
CASA C-212 Aviocar,478,300000,0.14,""
General Aircraft Croydon,1,300000,0.0,300000
Piaggio PD.808,24,400000,0.0,"$350,000-$400,000 in 1961<ref>{{cite journal|magazine=Flying Magazine|date=August 1961|page=24}}</ref>"
Aviastroitel AC-5M,35,33000,0.0,"[[US$]]33,000 (2003)"
Meger Heli-Star,1,300000,0.0,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
North Wing Maverick,10,17500,0.0,"[[US$]]$17,500 (2012 price, Maverick 2 Legend model)"
Aerochia LT-1,1,29900,0.0,"$29,900 without engine in 2012<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->"
Göppingen Gö 1,6,300000,0.0,300000
Boeing Model 6,1,300000,0.0,300000
Martin T,17,300000,0.0,300000
SNCAC NC.4-10,1,300000,0.0,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
SABCA S.11,1,300000,0.0,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
VL Pyörremyrsky,1,300000,0.0,""
Wibault 9,1,300000,0.0,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
Nelson Hummingbird PG-185B,7,300000,0.0,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
K-class blimp,134,300000,0.04,300000
Bell UH-1Y Venom,54,26200000,1.41,"US$26.2 million ([[flyaway cost]], FY2014)<ref>{{cite web |url=http://www.finance.hq.navy.mil/FMB/14pres/APN.HTM |title= Department of Defense Fiscal Year (FY) 2014 President's Budget Submission, Aircraft Procurement, Navy, Budget Activity 01-04 |publisher=Department of the Navy |page= V1-79 |date=April 2013}}</ref>"
Fauvel AV.22,6,300000,0.0,300000
Potez 230,1,300000,0.0,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
Shapley Kittiwake,2,300000,0.0,300000
Interstate XBDR,0,300000,0.0,300000
VEF I-12,12,300000,0.0,300000
Supermarine Walrus,740,300000,0.22,""
Avro Avis,1,300000,0.0,300000
PZL.37 Łoś,120,300000,0.03,""
Questair Venture,62,300000,0.01,300000
Hansa-Brandenburg G.I,50,300000,0.01,300000
Junkers CL.I,51,300000,0.01,300000
Miles Gemini,170,300000,0.05,300000
Polikarpov TIS,2,300000,0.0,300000
Wright Model C,8,300000,0.0,300000
Flettner Fl 185,1,300000,0.0,300000
Starck AS-80 Holiday,6,300000,0.0,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
Dewoitine HD.730,3,300000,0.0,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
Boeing 720,154,300000,0.04,""
Nakajima Ki-8,5,300000,0.0,300000
Kari-Keen 90 Sioux Coupe,32,3365,0.0,"$3,365 in 1930 <!--Incremental or flyaway cost for military or retail price for commercial aircraft-->"
Aeronatica Lombarda AL-3,1,300000,0.0,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
Hanriot HD.14,2100,300000,0.63,300000
Tupolev ANT-35,11,300000,0.0,300000
Paramount Cabinaire,8,5750,0.0,$5750 in 1931 <!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
TeST TST-13 Junior,5,300000,0.0,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
Wassmer WA-30 Bijave,285,300000,0.08,300000
Royal Aircraft Factory B.E.3,5,300000,0.0,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
HAL Basant,39,300000,0.01,300000
Steen Skybolt,400,300000,0.12,300000
Hannover Cl.V,120,300000,0.03,300000
Dornier Do 215,105,300000,0.03,""
Blériot-SPAD S.46,40,300000,0.01,300000
Seguin Wasabi Special,1,300000,0.0,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
Avia BH-3,14,300000,0.0,300000
Sikorsky S-52,93,300000,0.02,""
Fisher Dakota Hawk,25,300000,0.0,300000
